P3 Topp 300%1964 till 2024;;;
1970;300. O-O-H Child;Five stairsteps;https://open.spotify.com/track/74JdR9aXE6I74oS1BVRsvb?si=
2011;299. Shake it Out;Florence +%The Machine;https://open.spotify.com/track/4lY95OMGb9WxP6IYut64ir?si=
2003;298. Pulling Our Weight;The Radio Dept.;https://open.spotify.com/track/5JfibYpOT2Rtw6a0iWHiNm?si=
1995;297. Common People;Pulp;https://open.spotify.com/track/2fXKyAyPrEa24c6PJyqznF?si=
1993;296. Himlen Är%Oskyldigt Blå;Ted Gärdestad;https://open.spotify.com/track/4rg0qXQd00nfQTTpu5U6sP?si=
1982;295. Bam Bam;Sister Nancy;https://open.spotify.com/track/7ixiCZEHWHc8FxaQXQh2P4?si=
2017;294. Green Light;Lorde;https://open.spotify.com/track/6ie2Bw3xLj2JcGowOlcMhb?si=
1973;293. Midnight Train%To Georgia;Gladys Knight &%The Pips;https://open.spotify.com/track/7MF7QAodbGzNYav5ZfIhAY?si=
1994;292. N.Y State of Mind;Nas;https://open.spotify.com/track/0trHOzAhNpGCsGBEu7dOJo?si=
2012;291. Korallreven &%Vintergatan;Markus%Krunegård;https://open.spotify.com/track/1Qc8BApL8Jd3k8ZDyS3rkd?si=
2013;290. Bipp;Sophie;https://open.spotify.com/track/5HuOQHBDbb0UJjEE2fw6Uq?si=
2011;289. Midnight City;M83;https://open.spotify.com/track/1eyzqe2QqGZUmfcPZtrIyt?si=
1981;288. Never Too Much;Luther Vandross;https://open.spotify.com/track/3nFJbZCHP4d9vduKjJLdBL?si=
1979;287. Heart Of Glass;Blondie;https://open.spotify.com/track/4v2rkl1mC3zVAz0nXMx9r4?si=
2004;286. Confessions Part II;Usher;https://open.spotify.com/track/7wBThXx7BGZHJJ3aN3OPvv?si=
1975;285. Water No%Get Enemy;Fela Kuti;https://open.spotify.com/track/2oWex6rYoQ7Bl2D9zG8d3F?si=
2019;284. Thank U, Next;Ariana Grande;https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ?si=
1997;283. Around The World;Daft Punk;https://open.spotify.com/track/1pKYYY0dkg23sQQXi0Q5zN?si=
1995;282. Alberto Balsalm;Aphex Twin;https://open.spotify.com/track/6gbmylJ7sB7NFfMfTQHosf?si=
1970;281. Speed King;Deep Purple;https://open.spotify.com/track/7L1GZDz4fGQGkpXpGaLV55?si=
2001;280. Magnetic City;Silverbullit;https://open.spotify.com/track/4Tp4cBIxemHH6XTkHD0Eja?si=
2001;279. Has It Come%To This?;The Streets;https://open.spotify.com/track/7I63krPum3VHEKQYk4SsE9?si=
1988;278. Straight Outta%Compton;N.W.A.;https://open.spotify.com/track/6KIKRz9eSTXdNsGUnomdtW?si=
1982;277. Flyktsoda;Ebba Grön;https://open.spotify.com/track/7JH5uVkGOGagw5QKL3L4vO?si=
1991;276. Mind Playing%Tricks On Me;Geto Boys;https://open.spotify.com/track/63BokRfXSQhEU6Qi2dSJpZ?si=
1966;275. All Tomorrow's%Parties;The Velvet%Underground;https://open.spotify.com/track/1mL6q0gbifm2dBTvMBx4px?si=
2000;274. Try Again;Aaliyah;https://open.spotify.com/track/6Wnlq1Pu3I0BajLvxn05Vr?si=
2001;273. Last Nite;The Strokes;https://open.spotify.com/track/3SUusuA9jH1v6PVwtYMbdv?si=
1995;272. Down By The Water;Pj Harvey;https://open.spotify.com/track/48mJX8glOrQkrSdVBjc0Wb?si=
1977;271. God Save%The Queen;Sex Pistols;https://open.spotify.com/track/6ui6l3ZNvlrGQZArwo8195?si=
2008;270. Viva La Vida;Coldplay;https://open.spotify.com/track/1mea3bSkSGXuIRvnydlB5b?si=
1980;269. Back In Black;AC/DC;https://open.spotify.com/track/08mG3Y1vljYA6bvDt4Wqkj?si=
1994;268. C.R.E.A.M.;Wu Tang Clan;https://open.spotify.com/track/119c93MHjrDLJTApCVGpvx?si=
1989;267. I Wanna Be Adored;The Stone Roses;https://open.spotify.com/track/758wEKVqfYopJIHYWdLVd4?si=
1973;266. Someday We'll%All Be Free;Donny Hathaway;https://open.spotify.com/track/0iJP3XxZNE8tP7YnB23J1r?si=
1972;265. Thirteen;Big Star;https://open.spotify.com/track/3BQLTtpQOYGXQY2lT3ZZeU?si=
2000;264. He Wasn't%Man Enough;Toni Braxton;https://open.spotify.com/track/7f1Dmr246cJ9uQYdbplTbh?si=
1994;263. Inner City Life;Goldie;https://open.spotify.com/track/4TOIdyhxz1xgAlrrz2HHhT?si=
1995;262. Du Måste Finnas;Helen Sjöholm;https://open.spotify.com/track/168yWTm0x73EpaBMbSJvuD?si=
1971;261. Ain't No Sunshine;Bill Withers;https://open.spotify.com/track/1k1Bqnv2R0uJXQN4u6LKYt?si=
2004;260. The Art Teacher;Rufus Wainwright;https://open.spotify.com/track/17PoOoE5Dy0p0RNVThNlAX?si=
2009;259. Empire State%Of Mind;Alicia Keys, Jay-Z;https://open.spotify.com/track/2igwFfvr1OAGX9SKDCPBwO?si=
1975;258. I'm Not In Love;10cc;https://open.spotify.com/track/5HQEmiV2lKnSO6qa2fsR7x?si=
2016;257. Ultralight Beam;Kanye West;https://open.spotify.com/track/1eQBEelI2NCy7AUTerX0KS?si=
1981;256. In League%With Satan;Venom;https://open.spotify.com/track/0ndSMKLIGR1rIUwaK7qRh8?si=
2002;255. Hurt;Johnny Cash;https://open.spotify.com/track/28cnXtME493VX9NOw9cIUh?si=
2016;254. Work;Rihanna & Drake;https://open.spotify.com/track/72TFWvU3wUYdUuxejTTIzt?si=
1969;253. River Man;Nick Drake;https://open.spotify.com/track/3Uh7rAb7F0XGVpEEDwfH1k?si=
1994;252. Sabotage;Beastie Boys;https://open.spotify.com/track/0Puj4YlTm6xNzDDADXHMI9?si=
1984;251. Through The Fire;Chaka Khan;https://open.spotify.com/track/7gh2v4IHnxdiwSgA6xluhe?si=
1971;250. Let's Stay Together;Al Green;https://open.spotify.com/track/63xdwScd1Ai1GigAwQxE8y?si=
2003;249. In Da Club;50 Cent;https://open.spotify.com/track/4RY96Asd9IefaL3X4LOLZ8?si=
2017;248. Agony;Yung Lean;https://open.spotify.com/track/2xxjQg2hh2Rjm7EY9OhZXY?si=
2014;247. Stay High%(Habits Remix);Tove Lo;https://open.spotify.com/track/62N2JSA0jHmSH7Va9t7hIf?si=
2013;246. Instant Crush;Daft Punk,%Julian%Casablancas;https://open.spotify.com/track/2cGxRwrMyEAp8dEbuZaVv6?si=
2005;245. Best Of You;Foo Fighters;https://open.spotify.com/track/5FZxsHWIvUsmSK1IAvm2pp?si=
